CPR_OTHERSEVICETYPE,CPR_SEATNUMBER1,CPR_SEATCHAR1,CPR_SEATCHAR2,ID_LEGLEVEL_LEGROUTING,ID_PREFLIGHT_SEATINFO,CPR_SEATNUMBER2,DWH_SNAPSHOTTIMESTAMP
PRE,021E,,,156346719,166173359,,29MAY2022:06:59:12.863
ASN,021E,,N,156346719,166173360,,29MAY2022:06:59:12.863
PRE,026E,,,156346720,166173361,,29MAY2022:06:59:12.893
ASN,026E,,N,156346720,166173362,,29MAY2022:06:59:12.893
ASN,029D,,N,156346723,166173363,,29MAY2022:06:59:12.973
PRE,006A,,,156346729,166173364,,29MAY2022:06:59:13.110
ASN,006A,,N,156346729,166173365,,29MAY2022:06:59:13.110
PRE,018A,,,156346730,166173366,,29MAY2022:06:59:13.143
ASN,018A,,N,156346730,166173367,,29MAY2022:06:59:13.143
PRE,005D,,,156346733,166173368,,29MAY2022:06:59:13.207
ASN,005D,,,156346733,166173369,,29MAY2022:06:59:13.207
PRE,005D,,,156346734,166173370,,29MAY2022:06:59:13.237
ASN,005D,,,156346734,166173371,,29MAY2022:06:59:13.237
PRE,026E,,,156346747,166173372,,29MAY2022:06:59:13.533
ASN,026E,,N,156346747,166173373,,29MAY2022:06:59:13.533
PRE,026A,,,156346749,166173374,,29MAY2022:06:59:13.580
