ID_TICKETS,CPR_DOCUMENTNO,CPR_DOCUMENTTYPE,CPR_STATUS,CPR_ITEMNO,CPR_CPNNO,CPR_SUBQUALIFIER,CPR_LANGUAGE,CPR_SOURCE,CPR_ENCODING,CPR_FREETEXT,CPR_MARKETINGCOMP,ID_PRODUCTLEVEL,CPR_DOCUMENTNO1,CPR_DOCUMENTTYPE1,CPR_STATUS1,DWH_SNAPSHOTTIMESTAMP
61351506,2.32246E+12,E,ASS,,3,,,,,,,155686693,2.32246E+12,E,ASS,29MAY2022:08:21:49.867
61351507,2.32394E+12,E,ASS,,1,,,,,,,155686697,2.32394E+12,E,ASS,29MAY2022:08:21:49.947
61351508,2.32394E+12,E,ASS,,1,,,,,,,155686698,2.32394E+12,E,ASS,29MAY2022:08:21:49.977
61351509,2.32394E+12,E,ASS,,1,,,,,,,155686699,2.32394E+12,E,ASS,29MAY2022:08:21:49.993
61351510,2.32246E+12,E,ASS,,2,,,,,,,155686703,2.32246E+12,E,ASS,29MAY2022:08:21:50.087
61351511,2.32246E+12,E,ASS,,2,,,,,,,155686710,2.32246E+12,E,ASS,29MAY2022:08:21:50.213
61351512,2.32246E+12,E,ASS,,1,,,,,,,155686711,2.32246E+12,E,ASS,29MAY2022:08:21:50.243
61351513,2.32246E+12,E,ASS,,1,,,,,,,155686713,2.32246E+12,E,ASS,29MAY2022:08:21:50.307
61351514,2.32246E+12,E,ASS,,1,,,,,,,155686715,2.32246E+12,E,ASS,29MAY2022:08:21:50.340
61351515,2.32246E+12,E,ASS,,1,,,,,,,155686717,2.32246E+12,E,ASS,29MAY2022:08:21:50.387
61351516,2.32246E+12,E,ASS,,1,,,,,,,155686719,2.32246E+12,E,ASS,29MAY2022:08:21:50.417
61351517,2.32246E+12,E,ASS,,1,,,,,,,155686724,2.32246E+12,E,ASS,29MAY2022:08:21:50.527
61351518,2.32246E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686725,2.32246E+12,E,ASS,29MAY2022:08:21:50.557
61351519,2.32246E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686726,2.32246E+12,E,ASS,29MAY2022:08:21:50.573
61351520,2.32246E+12,E,ASS,,1,4,EN,M,1,SEAT FEE,,155686734,2.32246E+12,E,ASS,29MAY2022:08:21:50.713
61351521,2.32246E+12,E,ASS,,2,,,,,,,155686741,2.32246E+12,E,ASS,29MAY2022:08:21:50.840
61351522,2.32246E+12,E,ASS,,2,,,,,,,155686748,2.32246E+12,E,ASS,29MAY2022:08:21:50.980
61351523,2.32588E+12,E,ASS,,2,,,,,,,155686750,2.32588E+12,E,ASS,29MAY2022:08:21:51.073
