ID_BAG_ITIN,CPR_MARKTNG_CARRIER,CPR_FLGHT_NUMBER,CPR_OPT_SUFX,CPR_DEPT_DATE,CPR_BRDPT,CPR_OFFPT,CPR_ARRVDATE,CPR_BAGSTAT_INDC1,CPR_BAGSTAT_INDC2,CPR_BAGSTAT_ACTN1,CPR_BAGSTAT_ACTN2,ID_BAGGAGE_INFO,DWH_SNAPSHOTTIMESTAMP
43446313,MH,2621,,25-May-22,BKI,KUL,,,,,,30816610,29MAY2022:07:34:31.663
43446314,MH,2638,,28-May-22,KUL,BKI,,,,,,30816611,29MAY2022:07:34:31.663
43446315,MH,2638,,28-May-22,KUL,BKI,,,,,,30816612,29MAY2022:07:34:31.663
43446316,MH,2647,,25-May-22,BKI,KUL,,,,,,30816613,29MAY2022:07:34:31.663
43446317,MH,1209,,28-May-22,AOR,KUL,,,,,,30816614,29MAY2022:07:34:31.680
43446318,MH,2638,,28-May-22,KUL,BKI,,,,,,30816614,29MAY2022:07:34:31.680
43446319,MH,2638,,28-May-22,KUL,BKI,,,,,,30816615,29MAY2022:07:34:31.680
43446320,MH,2638,,28-May-22,KUL,BKI,,,,,,30816616,29MAY2022:07:34:31.680
43446321,MH,2638,,28-May-22,KUL,BKI,,,,,,30816617,29MAY2022:07:34:31.680
43446322,MH,2614,,27-May-22,KUL,BKI,,,,,,30816618,29MAY2022:07:34:31.693
43446323,MH,161,,28-May-22,DOH,KUL,,,,,,30816619,29MAY2022:07:34:31.693
43446324,MH,2638,,28-May-22,KUL,BKI,,,,,,30816619,29MAY2022:07:34:31.693
43446325,MH,2663,,23-May-22,BKI,KUL,,,,,,30816620,29MAY2022:07:34:31.693
43446326,MH,2638,,28-May-22,KUL,BKI,,,,,,30816621,29MAY2022:07:34:31.693
43446327,MH,2621,,22-May-22,BKI,KUL,,,,,,30816622,29MAY2022:07:34:31.693
43446328,MH,2638,,28-May-22,KUL,BKI,,,,,,30816623,29MAY2022:07:34:31.693
43446329,MH,2621,,22-May-22,BKI,KUL,,,,,,30816624,29MAY2022:07:34:31.710
43446330,MH,2638,,28-May-22,KUL,BKI,,,,,,30816625,29MAY2022:07:34:31.710
43446331,MH,2621,,22-May-22,BKI,KUL,,,,,,30816626,29MAY2022:07:34:31.740
43446332,MH,2638,,28-May-22,KUL,BKI,,,,,,30816627,29MAY2022:07:34:31.740
43446333,MH,2637,,22-May-22,BKI,KUL,,,,,,30816628,29MAY2022:07:34:31.740
43446334,MH,1446,,22-May-22,KUL,LGK,,,,,,30816628,29MAY2022:07:34:31.740
43446335,MH,1447,,26-May-22,LGK,KUL,,,,,,30816629,29MAY2022:07:34:31.757
43446336,MH,2638,,28-May-22,KUL,BKI,,,,,,30816630,29MAY2022:07:34:31.757
43446337,MH,2607,,22-May-22,BKI,KUL,,,,,,30816631,29MAY2022:07:34:31.757
43446338,MH,2638,,28-May-22,KUL,BKI,,,,,,30816632,29MAY2022:07:34:31.757
43446339,MH,161,,28-May-22,DOH,KUL,,,,,,30816633,29MAY2022:07:34:31.757
43446340,MH,2638,,28-May-22,KUL,BKI,,,,,,30816633,29MAY2022:07:34:31.757
43446341,MH,161,,28-May-22,DOH,KUL,,,,,,30816634,29MAY2022:07:34:31.757
43446342,MH,2638,,28-May-22,KUL,BKI,,,,,,30816634,29MAY2022:07:34:31.757
43446343,MH,2637,,27-May-22,BKI,KUL,,,,,,30816635,29MAY2022:07:34:31.773
43446344,MH,1432,,27-May-22,KUL,LGK,,,,,,30816635,29MAY2022:07:34:31.773
43446345,MH,1433,,28-May-22,LGK,KUL,,,,,,30816636,29MAY2022:07:34:31.773
43446346,MH,2616,,28-May-22,KUL,BKI,,,,,,30816636,29MAY2022:07:34:31.773
43446347,MH,2638,,28-May-22,KUL,BKI,,,,,,30816637,29MAY2022:07:34:31.773
43446348,MH,2638,,28-May-22,KUL,BKI,,,,,,30816638,29MAY2022:07:34:31.773
43446349,MH,2638,,28-May-22,KUL,BKI,,,,,,30816639,29MAY2022:07:34:31.773
43446350,MH,2638,,28-May-22,KUL,BKI,,,,,,30816640,29MAY2022:07:34:31.790
43446351,MH,2637,,24-May-22,BKI,KUL,,,,,,30816641,29MAY2022:07:34:31.790
43446352,MH,1446,,24-May-22,KUL,LGK,,,,,,30816641,29MAY2022:07:34:31.790
43446353,MH,1433,,26-May-22,LGK,KUL,,,,,,30816642,29MAY2022:07:34:31.790
43446354,MH,2638,,28-May-22,KUL,BKI,,,,,,30816643,29MAY2022:07:34:31.790
43446355,MH,1427,,28-May-22,KBR,KUL,,,,,,30816644,29MAY2022:07:34:31.790
43446356,MH,2638,,28-May-22,KUL,BKI,,,,,,30816644,29MAY2022:07:34:31.790
43446357,MH,2638,,28-May-22,KUL,BKI,,,,,,30816645,29MAY2022:07:34:31.790
43446358,MH,2646,,28-May-22,KUL,BKI,,,,,,30816646,29MAY2022:07:34:31.803
43446359,MH,2614,,28-May-22,KUL,BKI,,,,,,30816647,29MAY2022:07:34:31.803
43446360,MH,2611,,26-May-22,BKI,KUL,,,,,,30816648,29MAY2022:07:34:31.803
43446361,MH,2639,,22-May-22,BKI,KUL,,,,,,30816649,29MAY2022:07:34:31.803
43446362,MH,2638,,28-May-22,KUL,BKI,,,,,,30816650,29MAY2022:07:34:31.803
43446363,MH,2638,,28-May-22,KUL,BKI,,,,,,30816651,29MAY2022:07:34:31.803
43446364,MH,2638,,28-May-22,KUL,BKI,,,,,,30816652,29MAY2022:07:34:32.273
43446365,MH,2641,,22-May-22,BKI,KUL,,,,,,30816653,29MAY2022:07:34:32.290
43446366,MH,2638,,28-May-22,KUL,BKI,,,,,,30816654,29MAY2022:07:34:32.293
43446367,MH,751,,28-May-22,SGN,KUL,,,,,,30816655,29MAY2022:07:34:32.297
43446368,MH,2638,,28-May-22,KUL,BKI,,,,,,30816655,29MAY2022:07:34:32.297
