CPR_ORIGIN,CPR_DESTINATION,ID_LEGLEVEL_LEGROUTING,CPR_IDENTITERMINAL,CPR_LOCIDENTERMINAL,CPR_TRANSSTAGEQUALIFIER,CPR_AIRLINEDESIGNATOR,CPR_FLIGHTNUMBER,CPR_OPERSUFFIX,CPR_UNIQUEREFERENCE,CPR_ATTRIBUTETYPE,CPR_ATTRIDESCRIPTION,CPR_CLASSDESIGNATOR,CPR_TYPE1,CPR_TYPE2,CPR_VALUE1,CPR_VALUE2,CPR_TEXTSUBQUALIFIER,CPR_CODEDLANGUAGE,CPR_CODEDSOURCE,CPR_ENCODING,CPR_TEXTFREETEXT,CPR_ACTIONREQCODE,CPR_TEXTSEMANTIC,CPR_TEXTLANGUAGE,CPR_TEXTSOURCE,CPR_TEXTENCODING,CPR_FREETEXT,CPR_CLSOFSERVICE,ID_PRODUCTLEVEL,CPR_COACHNUMBER,CPR_TEXTSUBQUALIFIER1,CPR_INFORMATIONTYPE1,CPR_CODEDLANGUAGE1,CPR_CODEDSOURCE1,CPR_ENCODING1,CPR_FREETEXT1,CPR_CODEDINDICATOR,CPR_CODEDACTION,CPR_CODEDSTATUSREASON,CPR_SEATNUMBER,DWH_SNAPSHOTTIMESTAMP
BKI,KUL,156346217,1,M,,,,,,,,,4,,BKI-096,,,,,,,,,,,,,,155680994,,,,,,,,PPD,0,,,29MAY2022:06:58:09.090
KUL,KBR,156346218,M,,,,,,,,,,4,,KUL-065,,,,,,,,,,,,,,155680995,,,,,,,,PPD,0,,,29MAY2022:06:58:09.247
KBR,KUL,156346219,,,,,,,,,,,,,,,,,,,,,,,,,,,155680996,,,,,,,,PPD,0,,,29MAY2022:06:58:09.373
KUL,BKI,156346220,,,,,,,,,,,,,,,,,,,,,,,,,,,155680997,,,,,,,,PPD,0,,,29MAY2022:06:58:09.483
BKI,LDU,156346221,,,,,,,,,,,,,,,,,,,,,,,,,,,155680998,,,,,,,,PPD,0,,,29MAY2022:06:58:09.607
BKI,LDU,156346222,,,,,,,,,,,,,,,,,,,,,,,,,,,155680999,,,,,,,,PPD,0,,,29MAY2022:06:58:09.713
LDU,BKI,156346223,,,,,,,,,,,,,,,,,,,,,,,,,,,155681000,,,,,,,,PPD,0,,,29MAY2022:06:58:09.860
BKI,KUL,156346224,,,,,,,,,,,,,,,,,,,,,,,,,,,155681001,,,,,,,,PPD,0,,,29MAY2022:06:58:09.970
KUL,KBR,156346225,,,,,,,,,,,,,,,,,,,,,,,,,,,155681002,,,,,,,,PPD,0,,,29MAY2022:06:58:10.077
LDU,BKI,156346226,,,,,,,,,,,,,,,,,,,,,,,,,,,155681003,,,,,,,,PPD,0,,,29MAY2022:06:58:10.187
LDU,BKI,156346227,,,,,,,,,,,,,,,,,,,,,,,,,,,155681004,,,,,,,,PPD,0,,,29MAY2022:06:58:10.297
BKI,KUL,156346228,,,,,,,,,,,,,,,,,,,,,,,,,,,155681005,,,,,,,,PPD,0,,,29MAY2022:06:58:10.423
KUL,KBR,156346229,,,,,,,,,,,,,,,,,,,,,,,,,,,155681006,,,,,,,,PPD,0,,,29MAY2022:06:58:10.517
KBR,KUL,156346230,,,,,,,,,,,,,,,,,,,,,,,,,,,155681007,,,,,,,,PPD,0,,,29MAY2022:06:58:10.610
KUL,BKI,156346231,,,,,,,,,,,,,,,,,,,,,,,,,,,155681008,,,,,,,,PPD,0,,,29MAY2022:06:58:10.720
KBR,KUL,156346232,,,,,,,,,,,,,,,,,,,,,,,,,,,155681009,,,,,,,,PPD,0,,,29MAY2022:06:58:10.800
KUL,BKI,156346233,,,,,,,,,,,,,,,,,,,,,,,,,,,155681010,,,,,,,,PPD,0,,,29MAY2022:06:58:10.910
BKI,LDU,156346234,,,,,,,,,,,,,,,,,,,,,,,,,,,155681011,,,,,,,,PPD,0,,,29MAY2022:06:58:11.020
BKI,LDU,156346235,,,,,,,,,,,,,,,,,,,,,,,,,,,155681012,,,,,,,,PPD,0,,,29MAY2022:06:58:11.130
LDU,BKI,156346236,,1,,,,,,,,,,,,,,,,,,,,,,,,,155681013,,,,,,,,PPD,0,,,29MAY2022:06:58:11.240
BKI,KUL,156346237,1,M,,,,,,,,,,,,,,,,,,,,,,,,,155681014,,,,,,,,PPD,0,,,29MAY2022:06:58:11.367
KUL,KBR,156346238,M,,,,,,,,,,,,,,,,,,,,,,,,,,155681015,,,,,,,,PPD,0,,,29MAY2022:06:58:11.490
BKI,KUL,156346239,1,M,,,,,,,,,,,,,,,,,,,,,,,,,155681016,,,,,,,,PPD,0,,,29MAY2022:06:58:11.587
KUL,KBR,156346240,M,,,,,,,,,,,,,,,,,,,,,,,,,,155681017,,,,,,,,PPD,0,,,29MAY2022:06:58:11.713
KBR,KUL,156346241,,,,,,,,,,,,,,,,,,,,,,,,,,,155681018,,,,,,,,PPD,0,,,29MAY2022:06:58:11.837
