CPR_CARRIERID,CPR_NUMBER,CPR_STATUS,CPR_TIERLEVEL,CPR_PRIORITYCODE,ID_CUSTFQTVINFO,ID_CUSTOMERLEVEL,CCP_SSRCODE,CPR_REFQUALIFIER,CPR_PRIMEID,CPR_COMPANYID,DWH_SNAPSHOTTIMESTAMP
MH,313319672,OK,BLUE,,8263466,54142063,FQTV,,,MH,29MAY2022:07:14:04.343
MH,316090364,OK,BLUE,,8263467,54142064,FQTV,,,MH,29MAY2022:07:14:04.953
MH,308104974,OK,BLUE,,8263468,54142082,FQTV,,,MH,29MAY2022:07:14:06.623
BT,2711960664,OK,BASE,,8263469,54142093,FQTV,,,BT,29MAY2022:07:14:07.420
MH,321341742,OK,BLUE,,8263470,54142097,FQTV,,,MH,29MAY2022:07:14:07.687
MH,318193385,OK,BLUE,,8263471,54142113,FQTV,,,MH,29MAY2022:07:14:09.157
MH,315926483,OK,BLUE,,8263472,54142116,FQTV,,,MH,29MAY2022:07:14:09.637
MH,330173045,OK,BLUE,,8263473,54142121,FQTV,,,MH,29MAY2022:07:14:10.107
MH,601716231,OK,BLUE,,8263474,54142143,FQTV,,,MH,29MAY2022:07:14:11.887
MH,330691675,OK,BLUE,,8263475,54142146,FQTV,,,MH,29MAY2022:07:14:12.513
MH,331099613,OK,BLUE,,8263476,54142149,FQTV,,,MH,29MAY2022:07:14:13.213
MH,10228610,OK,BLUE,,8263477,54142150,FQTV,,,MH,29MAY2022:07:14:13.243
KL,1109447053,OK,EXPL,,8263478,54142153,FQTV,,,MH,29MAY2022:07:14:13.400
SK,EBS627502743,OK,EBS,S,8263479,54142153,FQTV,,,SK,29MAY2022:07:14:13.400
MH,601122804,OK,BLUE,,8263480,54142161,FQTV,,,MH,29MAY2022:07:14:14.197
MH,20188055,OK,SLVR,RUBY,8263481,54142164,FQTV,,,MH,29MAY2022:07:14:14.353
MH,310295624,OK,BLUE,,8263482,54142178,FQTV,,,MH,29MAY2022:07:14:15.230
